fecha_hora_minuto;campanya;cadena;franja;creatividad;duracion;posicion;grps_ad16;inversion
2019/03/26 12:51:00;HISPASALES MARZO TV;LA SEXTA;MAÑANA;OFERTA 20s;20;X;1.1;913
2019/03/27 13:16:00;HISPASALES MARZO TV;LA SEXTA;MAÑANA;OFERTA 20s;20;X;1.49;1236.7
2019/03/19 12:58:00;HISPASALES MARZO TV;LA SEXTA;MAÑANA;OFERTA 20s;20;PU;1.22;1316.38
2019/03/28 12:59:00;HISPASALES MARZO TV;LA SEXTA;MAÑANA;OFERTA 20s;20;PU;0.97;1046.63
2019/03/21 11:50:00;HISPASALES MARZO TV;LA SEXTA;MAÑANA;OFERTA 10s;10;X;0.99;493.02
2019/04/11 12:50:00;HISPASALES ABRIL TV;LA SEXTA;MAÑANA;OFERTA 10s;10;X;0.94;507.6
2019/05/14 13:13:00;HISPASALES MAYO TV;LA SEXTA;MAÑANA;OFERTA 20s;20;X;1.1;851.04
2019/05/09 13:18:00;HISPASALES MAYO TV;LA SEXTA;MAÑANA;OFERTA 10s;10;X;1.13;457.43
2019/05/14 12:55:00;HISPASALES MAYO TV;LA SEXTA;MAÑANA;OFERTA 10s;10;X;0.9;393.61
2019/05/08 13:12:00;HISPASALES MAYO TV;LA SEXTA;MAÑANA;OFERTA 20s;20;X;1.41;851.04
2019/05/05 12:54:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 20s;20;P6;0.19;0
2019/05/06 12:13:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 10s;10;P4;0.01;1.04
2019/05/06 12:36:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;PROMOCION 10s;10;P3;0.03;0
2019/05/06 13:43:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 10s;10;P5;0.1;4.34
2019/05/07 12:18:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 20s;20;P6;0.07;6.65
2019/05/08 12:19:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 10s;10;PU;0.1;22.89
2019/05/08 13:43:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;PROMOCION 10s;10;X;0.18;23.76
2019/05/09 13:41:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;PROMOCION 10s;10;P6;0.18;33.12
2019/05/13 12:16:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 20s;20;X;0.01;0
2019/05/13 12:44:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 10s;10;AP;0.06;7.28
2019/05/13 13:09:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 20s;20;X;0.15;24.57
2019/05/13 13:43:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;PROMOCION 10s;10;X;0.22;28.44
2019/05/14 13:10:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;OFERTA 10s;10;P4;0.1;12.31
2019/05/16 12:41:00;HISPASALES MAYO TV;PULSA TV;MAÑANA;PROMOCION 10s;10;X;0.12;20.64
2019/03/27 12:16:00;HISPASALES MARZO TV;ANTENA 3;MAÑANA;OFERTA 20s;20;P3;0.8;685.54
2019/03/25 13:07:00;HISPASALES MARZO TV;ANTENA 3;MAÑANA;OFERTA 20s;20;X;0.73;569.4
2019/03/25 13:28:00;HISPASALES MARZO TV;ANTENA 3;MAÑANA;OFERTA 20s;20;X;0.88;683.28
2019/04/08 13:11:00;HISPASALES ABRIL TV;ANTENA 3;MAÑANA;OFERTA 20s;20;X;1;838.32
2019/04/09 11:02:00;HISPASALES ABRIL TV;ANTENA 3;MAÑANA;PROMOCION 10s;10;P6;0.95;480.82
2019/05/06 11:03:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.57;309.51
2019/05/07 11:19:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;PROMOCION 10s;10;X;0.63;261.97
2019/05/07 12:16:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.63;272.92
2019/05/08 10:17:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 20s;20;X;0.58;404.7
2019/05/08 11:06:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.61;283.86
2019/05/08 11:21:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;PROMOCION 10s;10;X;0.61;301.3
2019/05/09 11:04:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.61;291.73
2019/05/13 10:17:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;PROMOCION 10s;10;X;0.5;211.01
2019/05/13 11:06:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 20s;20;AP;0.67;526.68
2019/05/14 11:02:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.82;360.13
2019/05/16 12:03:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.79;291.73
2019/05/16 12:15:00;HISPASALES MAYO TV;ANTENA 3;MAÑANA;OFERTA 10s;10;X;0.67;269.15
2019/03/26 13:05:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 10s;10;X;1.58;786.84
2019/03/28 13:05:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P3;1.17;1165.32
2019/03/25 12:06:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P3;0.76;756.96
2019/03/20 13:05:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P3;1.27;1264.92
2019/03/21 12:09:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;X;0.66;547.8
2019/03/19 12:07:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;X;0.67;556.1
2019/03/21 10:26:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;X;0.57;473.1
2019/03/25 10:21:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P2;0.6;647.4
2019/03/19 10:20:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P2;0.66;712.14
2019/03/20 11:39:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;X;0.72;597.6
2019/03/26 11:32:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P2;0.9;971.1
2019/03/27 12:12:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;PU;0.72;776.88
2019/03/21 13:05:00;HISPASALES MARZO TV;CUATRO;MAÑANA;OFERTA 20s;20;P5;1.36;1128.8
2019/04/04 13:01:00;HISPASALES ABRIL TV;CUATRO;MAÑANA;OFERTA 20s;20;P2;1.59;1860.3
2019/04/03 12:04:00;HISPASALES ABRIL TV;CUATRO;MAÑANA;OFERTA 20s;20;X;0.75;675
2019/04/11 12:06:00;HISPASALES ABRIL TV;CUATRO;MAÑANA;OFERTA 10s;10;P5;0.89;480.6
2019/04/09 12:10:00;HISPASALES ABRIL TV;CUATRO;MAÑANA;PROMOCION 10s;10;X;0.91;491.4
