fecha;hora;ad_name;ad_set_name;campanya;impresiones;clics;leads;inversion
2019-03-22;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;355;14;0;1.63
2019-03-18;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;154;23;0;1.14
2019-03-23;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;242;14;0;1.16
2019-03-18;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;20;6;0;0.44
2019-03-24;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;63;4;0;0.2
2019-03-18;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;92;20;0;1.24
2019-03-22;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;585;26;0;2.31
2019-03-24;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;48;1;0;0.14
2019-03-24;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;559;13;0;1.5
2019-03-20;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;28;2;0;0.09
2019-03-21;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;44;1;0;0.2
2019-03-23;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;33;0;0;0.09
2019-03-21;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;17;1;0;0.1
2019-03-18;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;106;16;0;0.94
2019-03-24;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;208;7;0;0.89
2019-03-24;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;115;7;0;0.39
2019-03-23;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;21;3;0;0.06
2019-03-22;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;148;7;0;0.55
2019-03-23;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;61;3;0;0.29
2019-03-20;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;24;1;0;0.12
2019-03-18;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;4;1;0;0.04
2019-03-19;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;34;1;0;0.2
2019-03-18;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;16;2;0;0.23
2019-03-23;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;623;30;0;2.25
2019-03-21;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;12;3;0;0.11
2019-03-22;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;34;2;0;0.09
2019-03-20;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;23;0;0;0.09
2019-03-23;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;139;6;0;0.41
2019-03-24;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;32;1;0;0.06
2019-03-23;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;16;0;0;0.05
2019-03-23;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;77;4;0;0.38
2019-03-18;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;11;1;0;0.16
2019-03-22;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;48;7;0;0.14
2019-03-23;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;372;19;0;1.44
2019-03-23;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;363;15;0;1.61
2019-03-23;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;377;16;0;1.5
2019-03-18;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;11;1;0;0.13
2019-03-20;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;61;0;0;0.17
2019-03-24;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;361;11;0;1.11
2019-03-22;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;15;0;0;0.05
2019-03-21;2;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;20;1;0;0.17
2019-03-21;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;115;8;0;0.41
2019-03-24;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;34;2;0;0.08
2019-03-22;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;268;10;0;0.94
2019-03-21;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;15;0;0;0.02
2019-03-22;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;10;0;0;0.03
2019-03-19;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;29;0;0;0.1
2019-03-23;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;231;14;0;0.83
2019-03-21;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;155;13;0;0.59
2019-03-23;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;388;24;0;1.84
2019-03-23;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;347;11;0;1.56
2019-03-18;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;132;24;0;1.14
2019-03-22;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;115;10;0;0.39
2019-03-22;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;354;13;0;1.19
2019-03-22;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;224;10;0;0.86
2019-03-19;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;451;15;0;1.44
2019-03-22;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;516;23;0;1.85
2019-03-20;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;303;21;0;1.24
2019-03-20;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;555;16;0;1.75
2019-03-20;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;333;13;0;1.46
2019-03-24;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;318;11;0;0.66
