"RideID";"DriverID";"PassengerID";"PickupLocation";"DropoffLocation";" pickupTime";"dropoffTime";"FareAmount";"PaymentMethod";"TripPurpose"
123456;D1234;P1234;"New York, NY";"Los Angeles, CA"; "2023-10-01T14:30:00"; "2023-10-01T16:20:00"; 35.75;credit_card;short_commute
123457;D1235;P1235;"Los Angeles, CA";"San Francisco, CA"; "2023-10-01T14:45:00"; "2023-10-01T16:15:00"; 42.50;contactless payment;work commute
123458;D1236;P1236;"Chicago, IL";"Miami, FL"; "2023-10-01T15:00:00"; "2023-10-01T17:30:00"; 58.99;debit card;vacation
123459;D1237;P1237;"New York, NY";"Washington, DC"; "2023-10-01T15:15:00"; "2023-10-01T16:45:00"; 48.75;Cash;entertainment
123460;D1238;P1238;"Los Angeles, CA";"San Diego, CA"; "2023-10-01T14:00:00"; "2023-10-01T15:30:00"; 27.99;credit card;short_commute
123461;D1239;P1239;"Chicago, IL";"Minneapolis, MN"; "2023-10-01T14:15:00"; "2023-10-01T16:00:00"; 42.75;contactless payment;work commute
123462;D1240;P1240;"Minneapolis, MN";"St. Paul, MN"; "2023-10-01T15:30:00"; "2023-10-01T17:00:00"; 38.99;debit card;shopping
123463;D1241;P1241;"Dallas, TX";"Houston, TX"; "2023-10-01T15:45:00"; "2023-10-01T17:15:00"; 49.87;Cash;entertainment
123464;D1242;P1242;"San Francisco, CA";"San Jose, CA"; "2023-10-01T14:00:00"; "2023-10-01T15:00:00"; 28.99;credit card;short_commute
123465;D1243;P1243;"Austin, TX";"allas, TX"; "2023-10-01T14:15:00"; "2023-10-01T16:45:00"; 39.75;contactless payment;work commute
