date, pm25, pm10, o3, no2, so2, co
2025/6/1, 50, 26, 33, 3, 1, 
2025/6/2, 45, 30, 29, 7, 1, 
2025/6/3, 53, 30, 40, 7, 1, 
2025/6/4, 61, 41, 40, 8, 1, 
2025/6/5, 82, 38, 33, 6, 1, 
2025/6/6, 75, 32, 36, 4, 1, 
2025/6/7, 66, 32, 29, 1, 1, 
2025/6/8, 65, 36, 22, 7, 1, 
2025/6/9, 62, 28, 29, 10, 1, 
2025/6/10, 61, 37, 37, 13, 2, 
2025/6/11, 71, 38, 39, 7, 1, 
2025/6/12, 76, 49, 38, 4, 1, 
2025/6/13, 90, 46, 38, 4, 1, 
2025/6/14, 93, 43, 37, 1, 1, 
2025/6/15, 80, 43, 29, 4, 1, 
2025/6/16, 70, 45, 30, 5, 1, 
2025/6/17, 73, 36, 31, 5, 1, 
2025/6/18, 67, 34, 34, 7, 1, 
2025/6/19, 67, 38, 40, 7, 1, 
2025/6/20, 70, 35, 35, 6, 1, 
2025/6/21, 65, 33, 43, 5, 1, 
2025/6/22, 65, 34, 37, 6, 1, 
2025/6/23, 60, 29, 38, 7, 1, 
2025/6/24, 56, 33, 32, 10, 1, 
2025/6/25, 57, 40, 39, 8, 1, 
2025/6/26, 64, 42, 37, 8, 1, 
2025/6/27, 66, 34, 43, 7, 1, 
2025/6/28, 63, 31, 35, 6, 2, 
2025/6/29, 61, 30, 12, 7, 1, 
2025/6/30, 60, , , , , 
2025/5/1, 28, 14, 31, 1, 1, 
2025/5/2, 41, 18, 27, 4, 1, 
2025/5/3, 51, 18, 30, 1, 1, 
2025/5/4, 15, 12, 16, 7, 1, 
2025/5/5, 9, 10, 23, 6, 1, 
2025/5/6, 8, 8, 17, 6, 1, 
2025/5/7, 10, 11, 17, 10, 1, 
2025/5/8, 26, 14, 35, 7, 1, 
2025/5/9, 38, 12, 33, 3, 1, 
2025/5/10, 32, 9, 81, 1, 1, 
2025/5/11, 18, 11, 26, 5, 1, 
2025/5/12, 14, 11, 26, 5, 1, 
2025/5/13, 28, 11, 28, 2, 1, 
2025/5/14, 31, 13, 23, 8, 1, 
2025/5/15, 25, 24, 34, 8, 1, 
2025/5/16, 40, 23, 38, 4, , 
2025/5/17, 52, 26, 41, 3, 1, 
2025/5/18, 59, 44, 33, 5, 1, 
2025/5/19, 43, 23, 43, 7, 1, 
2025/5/20, 37, 24, 37, 7, 1, 
2025/5/21, 45, 21, 33, 5, , 
2025/5/22, 41, 22, 32, 4, 1, 
2025/5/23, 36, 17, 34, 3, 1, 
2025/5/24, 40, 21, 41, 4, 1, 
2025/5/25, 45, 29, 45, 5, 1, 
2025/5/26, 56, 22, 32, 6, 1, 
2025/5/27, 47, 27, 30, 7, 1, 
2025/5/28, 49, 30, 39, 9, 1, 
2025/5/29, 55, 29, 33, 7, 1, 
2025/5/30, 52, 24, 33, 5, 1, 
2025/5/31, 47, 26, 40, 4, 1, 
2025/4/1, 41, 15, 26, 7, 1, 
2025/4/2, 30, 11, 24, 2, 1, 
2025/4/3, 24, 13, 22, 4, 1, 
2025/4/4, 34, 9, 25, 3, 1, 
2025/4/5, 16, 5, 16, 1, 1, 
2025/4/6, 7, 17, 23, 9, 1, 
2025/4/7, 23, 20, 26, 6, 1, 
2025/4/8, 52, 23, 38, 8, 1, 
2025/4/9, 59, 17, 38, 6, 1, 
2025/4/10, 43, 16, 33, 2, 1, 
2025/4/11, 43, 23, 27, 7, 2, 
