date, pm25, pm10, o3, no2, so2, co
2025/6/1, 42, 21, 34, 6, 1, 
2025/6/2, 34, 24, 35, 10, 1, 
2025/6/3, 43, 23, 39, 11, 1, 
2025/6/4, 54, 30, 42, 9, 1, 
2025/6/5, 66, 31, 39, 8, 1, 
2025/6/6, 65, 23, 41, 7, 1, 
2025/6/7, 56, 23, 31, 3, 2, 
2025/6/8, 57, 25, 26, 10, 2, 
2025/6/9, 56, 22, 29, 13, 1, 
2025/6/10, 53, 30, 37, 15, 2, 
2025/6/11, 62, 31, 41, 9, 1, 
2025/6/12, 68, 37, 39, 7, 2, 
2025/6/13, 77, 36, 44, 5, 2, 
2025/6/14, 82, 31, 40, 5, 2, 
2025/6/15, 70, 33, 30, 7, 2, 
2025/6/16, 60, 30, 34, 4, 2, 
2025/6/17, 61, 26, 32, 2, 2, 
2025/6/18, 59, 27, 11, 1, 2, 
2025/6/19, 60, , , , , 
2025/6/27, 56, 25, 40, 18, 1, 
2025/6/28, 56, 22, 42, 15, 2, 
2025/6/29, 54, 25, 15, 16, 1, 
2025/6/30, 51, , , , , 
2025/5/1, 56, 33, 37, 7, 1, 
2025/5/2, 75, 36, 34, 8, 1, 
2025/5/3, 77, 17, 35, 3, 1, 
2025/5/4, 22, 10, 30, 7, 1, 
2025/5/5, 14, 11, 38, 7, 1, 
2025/5/6, 22, 12, 35, 9, 1, 
2025/5/7, 27, 18, 33, 12, 1, 
2025/5/8, 47, 26, 33, 10, 1, 
2025/5/9, 61, 19, 32, 6, 1, 
2025/5/10, 44, 11, 36, 4, 1, 
2025/5/11, 29, 13, 34, 8, 1, 
2025/5/12, 27, 20, 39, 8, 1, 
2025/5/13, 40, 21, 34, 6, 1, 
2025/5/14, 47, 15, 36, 9, 1, 
2025/5/15, 29, 18, 38, 12, 1, 
2025/5/16, 29, 19, 39, 7, 1, 
2025/5/17, 44, 20, 40, 7, 1, 
2025/5/18, 50, 25, 36, 9, 1, 
2025/5/19, 32, 16, 41, 9, 1, 
2025/5/20, 27, 17, 39, 9, 1, 
2025/5/21, 32, 18, 32, 9, 1, 
2025/5/22, 36, 15, 35, 9, 1, 
2025/5/23, 26, 12, 38, 6, 1, 
2025/5/24, 27, 15, 39, 9, 1, 
2025/5/25, 35, 25, 42, 10, 1, 
2025/5/26, 48, 21, 37, 9, 1, 
2025/5/27, 45, 21, 33, 11, 1, 
2025/5/28, 42, 24, 38, 12, 1, 
2025/5/29, 47, 27, 36, 11, 1, 
2025/5/30, 42, 19, 37, 8, 1, 
2025/5/31, 38, 20, 38, 8, 1, 
2025/4/1, 62, 21, 39, 11, 1, 
2025/4/2, 47, 18, 36, 7, 1, 
2025/4/3, 46, 23, 34, 8, 1, 
2025/4/4, 58, 16, 33, 8, 1, 
2025/4/5, 41, 6, 35, 7, 1, 
2025/4/6, 15, 21, 34, 3, 1, 
2025/4/7, 40, 37, 37, 9, 1, 
2025/4/8, 79, 42, 34, 14, 1, 
2025/4/9, 91, 30, 35, 13, 1, 
2025/4/10, 67, 28, 35, 9, 1, 
2025/4/11, 66, 49, 30, 11, 1, 
2025/4/12, 102, 57, 33, 12, 1, 
2025/4/13, 125, 46, 31, 17, 1, 
2025/4/14, 99, 22, 36, 6, 1, 
2025/4/15, 24, 19, 35, 6, 1, 
2025/4/16, 19, 13, 37, 7, 1, 
2025/4/17, 23, 15, 30, 9, 1, 
2025/4/18, 35, 27, 36, 4, 1, 
2025/4/19, 32, 7, 32, 4, 1, 
2025/4/20, 16, 8, 35, 7, 1, 
2025/4/21, 18, 25, 26, 15, 1, 
2025/4/22, 59, 15, 34, 11, 1, 
2025/4/23, 37, 20, 31, 12, 1, 
2025/4/24, 43, 34, 38, 9, 1, 
2025/4/25, 75, 30, 30, 9, 1, 
2025/4/26, 73, 6, 32, 5, 1, 
2025/4/27, 11, 9, 30, 9, , 
2025/4/28, 24, 17, 39, 9, 1, 
2025/4/29, 40, 17, 35, 6, 1, 
2025/4/30, 43, 22, 39, 4, 1, 
2025/1/1, 43, 8, 12, 4, 3, 
2025/1/2, 28, 8, 17, 10, 2, 
2025/1/3, 22, 7, 16, 9, 1, 
2025/1/4, 22, 9, 18, 8, 1, 
2025/1/5, 29, 4, 21, 7, 1, 
2025/1/6, 15, 6, 18, 7, 1, 
2025/1/7, 12, 6, 21, 7, 1, 
2025/1/8, 14, 5, 19, 7, 1, 
2025/1/9, 12, 5, 15, 5, , 
2025/1/10, 12, 4, 22, 3, , 
2025/1/11, 7, 5, 22, 4, , 
2025/1/12, 9, 7, 17, 9, , 
2025/1/13, 18, 9, 15, 11, 1, 
2025/1/14, 25, 15, 14, 9, 1, 
2025/1/15, 44, 9, 27, 8, 1, 
2025/1/16, 27, 5, 24, 2, 1, 
2025/1/17, 17, 9, 19, 2, 1, 
2025/1/18, 27, 9, 21, 2, 1, 
2025/1/19, 29, 11, 15, , 1, 
2025/1/20, 36, 19, 3, 26, 2, 
2025/1/21, 58, 17, 17, 16, 2, 
2025/1/22, 49, 4, 22, 11, 1, 
2025/1/23, 12, 6, 23, 13, 1, 
2025/1/24, 20, 5, 23, 6, 1, 
2025/1/25, 17, 3, 24, 5, 1, 
2025/1/26, 10, 14, 29, 4, 2, 
2025/1/27, 14, 7, 31, 3, 2, 
2025/1/28, 9, 5, 27, 6, 2, 
2025/1/29, 13, 7, 27, 8, 2, 
2025/1/30, 15, 6, 30, 9, 2, 
2025/1/31, 16, 8, 25, 11, 2, 
2025/2/1, 22, 7, 26, 9, 2, 
2025/2/2, 21, 8, 24, 15, 2, 
2025/2/3, 23, 12, 25, 16, 3, 
2025/2/4, 30, 13, 19, 18, 3, 
2025/2/5, 35, 15, 24, 18, 3, 
2025/2/6, 44, 19, 27, 15, 3, 
2025/2/7, 51, 6, 27, 10, 3, 
2025/2/8, 18, 8, 23, 10, 3, 
2025/2/9, 27, 11, 27, 14, 3, 
2025/2/10, 33, 10, 28, 14, 2, 
2025/2/11, 33, 17, 21, 11, , 
2025/2/12, 50, 7, 23, 12, 1, 
2025/2/13, 17, 11, 23, 15, 1, 
2025/2/14, 31, 16, 31, 10, 1, 
2025/2/15, 50, 19, 30, 8, , 
2025/2/16, 58, 26, 28, 9, 1, 
2025/2/17, 72, 21, 36, 9, 1, 
2025/2/18, 60, 24, 32, 11, , 
2025/2/19, 68, 21, 30, 11, 1, 
2025/2/20, 61, 17, 28, 10, 1, 
2025/2/21, 54, 19, 24, 9, 1, 
2025/2/22, 57, 8, 29, 7, 1, 
2025/2/23, 27, 9, 22, 11, 1, 
2025/2/24, 24, 7, 25, 6, 1, 
2025/2/25, 14, 5, 30, 9, 1, 
2025/2/26, 14, 10, 22, 13, 1, 
2025/2/27, 26, 11, 33, 9, 1, 
2025/2/28, 36, 7, 31, 4, 1, 
2025/3/1, 23, 5, 32, 2, 1, 
2025/3/2, 17, 10, 32, 5, 1, 
2025/3/3, 35, 10, 31, 4, 1, 
2025/3/4, 38, 9, 34, 3, 1, 
2025/3/5, 32, 11, 33, 2, 1, 
2025/3/6, 43, 9, 26, 7, 1, 
2025/3/7, 33, 16, 30, 7, 1, 
2025/3/8, 52, 2, 33, 1, 1, 
2025/3/9, 9, 4, 30, 5, 1, 
2025/3/10, 12, 3, 33, 3, 1, 
2025/3/11, 9, 4, 29, 4, 1, 
2025/3/12, 9, 7, 25, 10, 1, 
2025/3/13, 24, 7, 19, 12, 1, 
2025/3/14, 26, 5, 32, 6, 1, 
2025/3/15, 21, 7, 26, 6, 1, 
2025/3/16, 25, 7, 25, 7, 1, 
2025/3/17, 26, 7, 29, 5, 1, 
2025/3/18, 27, 13, 32, 3, 1, 
2025/3/19, 39, 16, 31, 4, , 
2025/3/20, 51, 13, 30, 5, 1, 
