date, pm25, pm10, o3, no2, so2, co
2025/6/1, 48, 29, 37, 4, 1, 
2025/6/2, 46, 31, 38, 5, 1, 
2025/6/3, 51, 30, 45, 7, 1, 
2025/6/4, 61, 37, 45, 5, 1, 
2025/6/5, 73, 37, 39, 3, 1, 
2025/6/6, 71, 26, 42, 3, 1, 
2025/6/7, 61, 26, 32, , 1, 
2025/6/8, 64, 33, 26, 4, 1, 
2025/6/9, 66, 30, 30, 9, 1, 
2025/6/10, 60, 41, 38, 9, 1, 
2025/6/11, 68, 35, 42, 4, 1, 
2025/6/12, 72, 45, 43, 3, 1, 
2025/6/13, 83, 45, 43, 2, 1, 
2025/6/14, 91, 35, 40, 1, 1, 
2025/6/15, 76, 36, 31, 2, 1, 
2025/6/16, 66, 37, 37, 5, 1, 
2025/6/17, 69, 34, 34, 3, 1, 
2025/6/18, 68, 31, 33, 6, 1, 
2025/6/19, 63, 32, 37, 6, 1, 
2025/6/20, 67, 29, 38, 5, 1, 
2025/6/21, 64, 26, 45, 2, 1, 
2025/6/22, 62, 27, 33, 5, 1, 
2025/6/23, 57, 26, 33, 7, 1, 
2025/6/24, 55, 26, 36, 6, 1, 
2025/6/25, 54, 36, 37, 8, 1, 
2025/6/26, 62, 35, 36, 6, 1, 
2025/6/27, 64, 30, 38, 7, 1, 
2025/6/28, 62, 27, 39, 7, 1, 
2025/6/29, 59, , , , , 
2025/5/1, 56, 38, 43, 3, , 
2025/5/2, 69, 39, 36, 3, , 
2025/5/3, 71, 13, 33, 1, , 
2025/5/4, 26, 18, 31, 3, , 
2025/5/5, 20, 19, 40, 3, 1, 
2025/5/6, 27, 25, 40, 5, 1, 
2025/5/7, 38, 25, 36, 6, 1, 
2025/5/8, 50, 19, 35, 7, 1, 
2025/5/9, 55, 20, 36, 1, 1, 
2025/5/10, 51, 11, 36, 2, 1, 
2025/5/11, 34, 18, 37, 7, 1, 
2025/5/12, 34, 21, 44, 2, 1, 
2025/5/13, 47, 26, 40, 3, 1, 
2025/5/14, 57, 22, 36, 6, 1, 
2025/5/15, 38, 31, 39, 7, 1, 
2025/5/16, 41, 20, 44, 3, 1, 
2025/5/17, 53, 22, 44, 3, 1, 
2025/5/18, 57, 36, 34, 7, 1, 
2025/5/19, 42, 26, 43, 5, 1, 
2025/5/20, 32, 28, 39, 5, , 
2025/5/21, 41, 30, 36, 8, 1, 
2025/5/22, 53, 25, 37, 3, 1, 
2025/5/23, 36, 15, 40, 5, 1, 
2025/5/24, 36, 18, 41, 4, 1, 
2025/5/25, 44, 30, 49, 5, 1, 
2025/5/26, 58, 30, 39, 5, 1, 
2025/5/27, 53, 33, 35, 6, 1, 
2025/5/28, 49, 34, 41, 8, 1, 
2025/5/29, 51, 31, 39, 7, 1, 
2025/5/30, 50, 21, 39, 4, 1, 
2025/5/31, 49, 21, 43, 3, 1, 
2025/4/1, 61, 34, 42, 4, 1, 
2025/4/2, 55, 31, 40, 2, 1, 
2025/4/3, 57, 30, 36, 5, 1, 
2025/4/4, 62, 13, 31, 6, 1, 
2025/4/5, 38, 11, 34, 3, 1, 
2025/4/6, 23, 29, 36, 9, , 
2025/4/7, 46, 39, 40, 8, 1, 
2025/4/8, 72, 36, 35, 6, 1, 
2025/4/9, 74, 33, 40, 4, 1, 
2025/4/10, 62, 30, 39, 4, 1, 
2025/4/11, 59, 32, 32, 6, 1, 
2025/4/12, 75, 37, 36, 5, 1, 
2025/4/13, 91, 36, 34, 7, 1, 
2025/4/14, 77, 26, 34, 4, 1, 
2025/4/15, 24, 25, 36, 3, 1, 
2025/4/16, 19, 14, 36, 5, 1, 
2025/4/17, 28, 16, 33, 7, 1, 
2025/4/18, 36, 19, 36, 3, 1, 
2025/4/19, 30, 8, 33, 2, 1, 
2025/4/20, 21, 11, 39, 3, 1, 
2025/4/21, 27, 24, 26, 10, 1, 
2025/4/22, 56, 18, 32, 5, 1, 
2025/4/23, 42, 26, 31, 8, 1, 
2025/4/24, 49, 26, 41, 6, 1, 
2025/4/25, 62, 24, 29, 6, 1, 
2025/4/26, 58, 7, 34, 2, 1, 
2025/4/27, 17, 12, 33, 4, 3, 
2025/4/28, 29, 21, 45, 3, 1, 
2025/4/29, 39, 21, 40, 2, 1, 
2025/4/30, 43, 25, 45, 1, 1, 
2025/1/1, 53, 14, 15, 10, 1, 
2025/1/2, 38, 19, 22, 12, 1, 
2025/1/3, 33, 11, 22, 7, 1, 
2025/1/4, 33, 14, 27, 4, 1, 
2025/1/5, 43, 7, 32, 3, 1, 
2025/1/6, 18, 20, 26, 8, 1, 
2025/1/7, 23, 26, 30, 8, 1, 
2025/1/8, 27, 25, 25, 7, , 
2025/1/9, 26, 24, 19, 7, 1, 
2025/1/10, 27, 11, 29, 3, 1, 
2025/1/11, 15, 19, 33, 2, , 
2025/1/12, 19, 25, 26, 9, 1, 
2025/1/13, 36, 30, 23, 10, 1, 
2025/1/14, 44, 41, 15, 18, 2, 
2025/1/15, 66, 18, 29, 5, 1, 
2025/1/16, 37, 6, 25, 5, 1, 
2025/1/17, 25, 10, 24, 8, 1, 
2025/1/18, 31, 11, 26, 8, 1, 
2025/1/19, 40, 22, 13, 17, 1, 
2025/1/20, 55, 28, 3, 18, 1, 
2025/1/21, 74, 31, 14, 14, 1, 
2025/1/22, 63, 21, 22, 9, 1, 
2025/1/23, 26, 21, 22, 11, 1, 
2025/1/24, 35, 10, 27, 5, 1, 
2025/1/25, 27, 4, 28, 3, 1, 
2025/1/26, 14, 33, 35, 3, 1, 
2025/1/27, 26, 21, 35, 2, 1, 
2025/1/28, 19, 16, 25, 7, 1, 
2025/1/29, 23, 17, 29, 6, 1, 
2025/1/30, 18, 23, 29, 7, 1, 
2025/1/31, 36, 10, 26, 6, , 
2025/2/1, 29, 10, 17, 2, 1, 
2025/2/2, 44, 18, 24, 12, 1, 
2025/2/3, 34, 24, 24, 12, 1, 
2025/2/4, 45, 29, 18, 15, 1, 
2025/2/5, 51, 30, 25, 12, 1, 
2025/2/6, 59, 37, 26, 12, 2, 
2025/2/7, 71, 9, 29, 6, 1, 
2025/2/8, 28, 10, 25, 6, 1, 
2025/2/9, 39, 21, 33, 8, 1, 
2025/2/10, 49, 21, 31, 9, , 
2025/2/11, 49, 28, 24, 9, 1, 
2025/2/12, 66, 22, 23, 10, 1, 
2025/2/13, 35, 27, 20, 14, 1, 
2025/2/14, 47, 18, 34, 7, 1, 
2025/2/15, 61, 20, 32, 6, 1, 
2025/2/16, 67, 33, 28, 8, 1, 
2025/2/17, 90, 30, 37, 5, , 
2025/2/18, 80, 38, 35, 9, 1, 
2025/2/19, 97, 35, 34, 7, 1, 
2025/2/20, 81, 25, 33, 7, 1, 
2025/2/21, 68, 22, 27, 6, 1, 
2025/2/22, 70, 9, 31, 5, 1, 
2025/2/23, 38, 16, 19, 11, 1, 
2025/2/24, 36, 20, 25, 7, 1, 
2025/2/25, 28, 24, 29, 10, 1, 
2025/2/26, 40, 42, 18, 13, 1, 
2025/2/27, 67, 39, 39, 7, 1, 
2025/2/28, 72, 30, 36, 2, 1, 
2025/3/1, 67, 26, 37, 1, 1, 
2025/3/2, 69, 40, 36, 3, 1, 
2025/3/3, 74, 36, 34, 2, 1, 
2025/3/4, 69, 27, 39, 1, 1, 
2025/3/5, 60, 39, 36, 1, , 
2025/3/6, 72, 22, 27, 6, 1, 
2025/3/7, 55, 41, 32, 6, 1, 
2025/3/8, 79, 6, 35, 1, 1, 
2025/3/9, 17, 14, 28, 6, 1, 
2025/3/10, 29, 12, 32, 6, 1, 
2025/3/11, 24, 16, 28, 5, 1, 
