date, pm25, pm10, o3, no2, so2, co
2025/6/1, 18, 6, 40, 4, 1, 
2025/6/2, 15, 7, 41, 2, 1, 
2025/6/3, 19, 9, 43, 3, 1, 
2025/6/4, 32, 12, 45, 3, 1, 
2025/6/5, 38, 12, 48, 3, 1, 
2025/6/6, 38, 9, 43, 4, 1, 
2025/6/7, 28, 10, 34, 3, 1, 
2025/6/8, 38, 12, 34, 4, 1, 
2025/6/9, 41, 11, 41, 5, 1, 
2025/6/10, 28, 14, 46, 4, 1, 
2025/6/11, 36, 13, 48, 3, 1, 
2025/6/12, 40, 21, 44, 4, 1, 
2025/6/13, 57, 18, 47, 4, 1, 
2025/6/14, 55, 17, 45, 4, 1, 
2025/6/15, 47, 13, 37, 4, 1, 
2025/6/16, 41, 13, 39, 5, 1, 
2025/6/17, 38, 14, 39, 6, 1, 
2025/6/18, 41, 13, 42, 5, 1, 
2025/6/19, 37, 11, 47, 6, 1, 
2025/6/20, 27, 12, 48, 6, 1, 
2025/6/21, 32, 10, 45, 6, 1, 
2025/6/22, 23, 11, 48, 5, 1, 
2025/6/23, 24, 12, 48, 4, 1, 
2025/6/24, 25, 12, 49, 4, 3, 
2025/6/25, 28, 11, 45, 2, , 
2025/6/26, 26, 12, 53, 3, , 
2025/6/27, 31, 12, 57, 2, , 
2025/6/28, 28, 11, 48, 2, , 
2025/6/29, 26, 10, 35, 1, , 
2025/6/30, 30, , , , , 
2025/5/1, 24, 12, 32, 2, 1, 
2025/5/2, 43, 10, 36, 2, 1, 
2025/5/3, 33, 2, 35, 1, 1, 
2025/5/4, 9, 3, 34, 1, 1, 
2025/5/5, 11, 4, 42, 1, 1, 
2025/5/6, 8, 5, 38, 1, 1, 
2025/5/7, 17, 6, 31, 1, 1, 
2025/5/8, 22, 5, 34, 1, 1, 
2025/5/9, 24, 6, 32, 1, 1, 
2025/5/10, 26, 4, 39, 1, 1, 
2025/5/11, 16, 3, 38, 1, 1, 
2025/5/12, 9, 6, 36, 1, 1, 
2025/5/13, 23, 6, 38, 1, 1, 
2025/5/14, 22, 3, 35, 1, 1, 
2025/5/15, 10, 5, 42, 2, 1, 
2025/5/16, 13, 7, 41, 1, 1, 
2025/5/17, 22, 5, 44, 1, 1, 
2025/5/18, 18, 4, 39, 1, 1, 
2025/5/19, 11, 5, 42, 2, 1, 
2025/5/20, 12, 6, 47, 2, 1, 
2025/5/21, 15, 5, 38, 1, 1, 
2025/5/22, 12, 4, 40, 1, 1, 
2025/5/23, 13, 5, 40, 1, 1, 
2025/5/24, 16, 5, 51, 1, 1, 
2025/5/25, 17, 7, 44, 1, 1, 
2025/5/26, 19, 8, 42, 2, 1, 
2025/5/27, 19, 9, 54, 3, 1, 
2025/5/28, 20, 10, 44, 2, 1, 
2025/5/29, 20, 10, 57, 3, 1, 
2025/5/30, 22, 9, 47, 4, 1, 
2025/5/31, 23, 8, 47, 5, 1, 
2025/4/1, 15, 9, 40, 1, 1, 
2025/4/2, 34, 7, 37, 1, 1, 
2025/4/3, 23, 6, 36, 1, 1, 
2025/4/4, 20, 3, 37, 1, 1, 
2025/4/5, 7, 1, 39, 1, 1, 
2025/4/6, 5, 6, 41, 1, 1, 
2025/4/7, 11, 8, 42, 2, 1, 
2025/4/8, 26, 10, 41, 3, 1, 
2025/4/9, 33, 9, 41, 1, 1, 
2025/4/10, 30, 11, 39, 1, 1, 
2025/4/11, 40, 13, 30, 2, 1, 
2025/4/12, 47, 6, 34, 1, 1, 
2025/4/13, 24, 8, 31, 2, 1, 
2025/4/14, 31, 2, 36, 1, 1, 
2025/4/15, 9, 1, 36, , 1, 
2025/4/16, 9, 4, 39, 3, 1, 
2025/4/17, 10, 3, 30, 2, 1, 
2025/4/18, 9, 2, 36, 1, 1, 
2025/4/19, 7, 2, 31, 4, 1, 
2025/4/20, 6, 2, 35, 2, 1, 
2025/4/21, 9, 2, 22, 1, 1, 
2025/4/22, 12, 5, 38, 2, 1, 
2025/4/23, 11, 5, 38, 3, 1, 
2025/4/24, 17, 7, 39, 3, 1, 
2025/4/25, 26, 4, 35, 1, 1, 
2025/4/26, 14, 1, 36, 2, 1, 
2025/4/27, 5, 2, 38, 1, 1, 
2025/4/28, 9, 5, 38, 1, 1, 
2025/4/29, 19, 6, 38, 1, 1, 
2025/4/30, 19, 10, 41, 1, 1, 
2025/1/1, 29, 2, 24, 1, 1, 
2025/1/2, 9, 1, 28, , , 
2025/1/3, 6, 3, 28, 3, 1, 
2025/1/4, 14, 6, 29, , 1, 
2025/1/5, 16, 4, 27, , 1, 
2025/1/6, 13, 3, 26, 1, 1, 
2025/1/7, 13, 1, 20, , 1, 
2025/1/8, 5, , , , , 
2025/1/10, 5, , 34, , 1, 
2025/1/12, 5, 4, 36, 20, 16, 
2025/1/13, 14, 16, 32, 9, 1, 
2025/1/14, 24, 14, 37, 2, 1, 
2025/1/15, 21, 16, 35, 1, 1, 
2025/1/16, 22, 1, 28, 2, 1, 
2025/1/17, 8, 2, 34, 2, 1, 
2025/1/18, 12, 3, 34, 2, 1, 
2025/1/19, 14, 4, 26, 4, , 
2025/1/20, 17, 3, 21, 4, , 
2025/1/21, 16, 9, 28, 1, 1, 
2025/1/22, 20, 2, 29, 1, 1, 
2025/1/23, 8, 2, 30, 1, 1, 
2025/1/24, 11, 3, 27, 1, 1, 
2025/1/25, 17, 3, 26, 1, 1, 
2025/1/26, 12, 1, 33, 1, 2, 
2025/1/27, 5, 1, 33, 1, 2, 
2025/1/28, 5, 2, 28, 1, 2, 
2025/1/29, 8, 1, 28, , 1, 
2025/1/30, 5, 2, 28, 1, 1, 
2025/1/31, 8, 2, 28, 1, 1, 
2025/2/1, 10, 2, 30, 2, 1, 
2025/2/2, 10, 3, 31, 1, 1, 
2025/2/3, 13, 4, 32, 2, 1, 
2025/2/4, 15, 4, 32, 2, 1, 
2025/2/5, 14, 11, 31, 3, 1, 
2025/2/6, 39, 11, 31, 2, 1, 
2025/2/7, 42, 2, 31, 1, 1, 
2025/2/8, 10, 3, 29, 2, 1, 
2025/2/9, 13, 9, 31, 3, 1, 
2025/2/10, 36, 9, 28, 3, 1, 
2025/2/11, 31, 11, 27, 2, 1, 
2025/2/12, 48, 3, 30, 3, 1, 
2025/2/13, 9, 4, 29, 4, 1, 
2025/2/14, 13, 8, 29, 2, 1, 
2025/2/15, 37, 10, 29, 3, 1, 
2025/2/16, 32, 11, 32, 2, 1, 
2025/2/17, 28, 14, 35, 2, 1, 
2025/2/18, 46, 17, 32, 3, 1, 
2025/2/19, 58, 15, 32, 2, 1, 
2025/2/20, 52, 14, 31, 2, 1, 
2025/2/21, 51, 14, 24, 3, 1, 
2025/2/22, 51, 2, 31, 2, 1, 
2025/2/23, 10, 4, 28, 2, 1, 
2025/2/24, 12, 3, 32, 1, 1, 
2025/2/25, 6, 3, 35, 2, 1, 
2025/2/26, 10, 6, 29, 3, 1, 
2025/2/27, 17, 9, 37, 3, 1, 
2025/2/28, 34, 3, 29, 1, 1, 
2025/3/1, 14, 3, 28, , 1, 
2025/3/2, 13, 3, 27, 1, 1, 
2025/3/3, 14, 6, 29, 1, 1, 
2025/3/4, 20, 2, 32, 1, 1, 
2025/3/5, 11, 8, 29, 1, 1, 
2025/3/6, 29, 5, 28, 1, 1, 
2025/3/7, 22, 10, 31, 1, 1, 
2025/3/8, 37, 1, 34, , 1, 
2025/3/9, 5, 1, 31, 1, 1, 
2025/3/10, 7, 1, 34, 1, 1, 
2025/3/11, 7, 2, 32, , 1, 
2025/3/12, 6, 3, 27, 1, 1, 
2025/3/13, 12, 4, 32, 1, 1, 
2025/3/14, 16, 3, 35, 1, 1, 
2025/3/15, 15, 3, 30, 1, 1, 
2025/3/16, 12, 4, 24, , 1, 
2025/3/17, 20, 4, 28, , 1, 
2025/3/18, 17, 5, 29, 1, 1, 
2025/3/19, 22, 14, 30, 1, 1, 
2025/3/20, 42, 6, 36, 1, 1, 
2025/3/21, 19, 1, 34, , 1, 
2025/3/22, 5, 1, 30, 1, 1, 
2025/3/23, 9, 4, 31, 2, 1, 
2025/3/24, 16, 1, 29, 1, 1, 
2025/3/25, 7, 2, 34, , 1, 
2025/3/26, 8, 6, 36, 2, 1, 
2025/3/27, 21, 4, 38, 1, 1, 
2025/3/28, 14, 5, 39, 1, 1, 
2025/3/29, 10, 2, 37, 2, 1, 
2025/3/30, 8, 7, 40, 3, 1, 
2025/3/31, 12, 6, 47, 2, 1, 
2024/10/1, 14, , , , , 
2024/10/3, 7, 3, 33, 2, 1, 
2024/10/4, 9, 5, 35, 3, 1, 
2024/10/5, 15, 18, 11, 1, 1, 
2024/10/6, 42, 15, 22, 7, 1, 
2024/10/7, 33, 1, 26, 1, 1, 
2024/10/8, 6, 3, 26, , 1, 
2024/10/9, 9, 3, 26, 1, 1, 
2024/10/10, 6, 3, 30, , 1, 
2024/10/11, 10, 8, 14, 2, 1, 
2024/10/12, 32, 3, 13, 5, 1, 
2024/10/13, 9, 8, 23, 6, 1, 
2024/10/14, 26, 10, 21, 3, 1, 
2024/10/15, 31, 5, 20, 2, , 
2024/10/16, 19, 1, 28, 1, 1, 
2024/10/17, 7, 1, 26, , 1, 
2024/10/18, 5, 2, 26, , 1, 
2024/10/19, 8, 3, 24, 3, 1, 
2024/10/20, 11, 4, 30, 1, 1, 
2024/10/21, 14, 2, 29, , 1, 
2024/10/22, 9, 3, 21, 1, 1, 
2024/10/23, 11, 8, 23, 2, , 
2024/10/24, 28, 7, 18, 2, 1, 
2024/10/25, 26, 2, 26, , , 
2024/10/26, 8, 2, 23, , , 
2024/10/27, 7, 2, 23, , , 
2024/10/28, 10, 6, 23, , , 
2024/10/29, 22, , , , , 
2024/10/31, 34, , , , , 
2024/11/4, 40, , , , , 
2024/11/6, 45, 8, 24, 4, 1, 
2024/11/7, 27, 7, 22, 3, 1, 
2024/11/8, 27, 10, 21, 3, 1, 
2024/11/9, 32, 1, 26, 1, 1, 
2024/11/10, 8, 4, 22, 2, 1, 
2024/11/11, 12, 3, 24, , 1, 
2024/11/12, 9, 2, 21, 1, 1, 
2024/11/13, 13, 6, 22, 1, , 
2024/11/14, 24, 7, 21, 1, 1, 
2024/11/15, 25, 8, 21, 1, 1, 
2024/11/16, 25, 14, 13, 4, 1, 
2024/11/17, 37, 8, 14, 3, 1, 
2024/11/18, 21, 8, 22, 2, 1, 
2024/11/19, 24, 5, 23, 1, 1, 
2024/11/20, 16, 2, 24, 1, 1, 
2024/11/21, 5, 1, 22, , 1, 
2024/11/22, 7, 6, 19, 2, 1, 
2024/11/23, 24, 7, 23, 4, 1, 
2024/11/24, 26, 15, 23, 5, 1, 
2024/11/25, 38, 5, 25, 2, 1, 
2024/11/26, 17, 7, 22, 3, 1, 
2024/11/27, 27, 7, 18, 4, 1, 
2024/11/28, 27, 12, 22, 2, 1, 
2024/11/29, 28, 21, 17, 4, , 
2024/11/30, 53, 14, 12, 4, , 
2024/12/1, 47, 9, 21, 2, , 
2024/12/2, 24, 12, 16, 3, 1, 
2024/12/3, 40, 3, 25, 1, 1, 
2024/12/4, 14, 1, 26, , 1, 
2024/12/5, 5, , , , , 
2024/12/9, 5, 2, 21, , 1, 
2024/12/10, 9, 3, 13, , 1, 
2024/12/11, 11, 2, 18, 1, 1, 
2024/12/12, 9, 2, 21, 1, 1, 
2024/12/13, 11, 1, 18, , 1, 
2024/12/14, 8, , , , , 
2024/12/16, 11, 4, 21, 3, 1, 
2024/12/17, 16, 9, 25, 2, 1, 
2024/12/18, 20, 11, 29, , 1, 
2024/12/19, 25, 2, 28, , 1, 
2024/12/20, 6, 1, 28, , 1, 
2024/12/21, 7, 1, 28, , 1, 
2024/12/22, 5, 3, 30, , 1, 
2024/12/23, 8, 3, 29, , 1, 
2024/12/24, 6, 6, 23, , 1, 
2024/12/25, 22, 6, 17, 1, 1, 
2024/12/26, 23, 7, 23, 1, 1, 
2024/12/27, 32, 5, 25, , 1, 
2024/12/28, 22, 6, 24, 3, 1, 
2024/12/29, 23, , , , , 
2024/7/1, 27, 4, 32, 3, 1, 
2024/7/2, 9, 5, 47, 2, 1, 
2024/7/3, 19, 4, 40, 3, 1, 
2024/7/4, 9, 6, 36, 6, , 
2024/7/5, 18, 3, 34, 5, 1, 
2024/7/6, 9, 3, 25, 6, 1, 
2024/7/7, 13, 5, 32, 5, , 
2024/7/8, 15, 3, 31, 5, 1, 
2024/7/9, 10, 3, 12, 6, 1, 
2024/7/10, 12, 18, 38, 5, , 
2024/7/11, 46, 7, 28, 3, , 
2024/7/12, 21, , 26, 2, , 
2024/7/18, 30, 6, 15, 2, , 
2024/7/19, 22, , , , , 
2024/7/26, 15, , , , , 
2024/7/30, 21, , , 3, , 
2024/8/2, 28, , , , , 
