ID_Envio,Origen,Destino,Tipo_Carga,Masa_kg,Tiempo_Entrega_días,Costo_Estimado_Euros,Estado,Estado_Envio,Manifiesto,Consumo_Combustible_L,Coordenadas_Origen,Coordenadas_Destino,Fecha_Envio,ID_Nave
001,Estación Orbital Saturno,Europa,Equipo Científico,808,17,49782.8,Alta,Demorado,MF-6C698688,1079.16,"-95.2638,-49.4028","-126.4673,30.8775",2125-01-04,TSC-001
002,Estación Ceres,Marte,Alimentos Procesados,1154,380,13639.95,Media,Programado,MF-474C9A62,621.69,"157.1547,32.0798","-102.8424,50.4302",2125-04-30,TSC-010
003,Marte,Estación Ceres,Muestras Geológicas,1486,117,15555.85,Baja,En tránsito,MF-A3A550D0,1911.85,"48.4958,-75.9482","119.3142,-19.5305",2125-09-20,TSC-002
004,Europa,Estación Orbital Júpiter,Suministros Generales,538,271,42979.4,Baja,En tránsito,MF-5515E7DE,424.41,"-39.9533,-40.3437","140.6856,56.5205",2125-04-22,TSC-008
005,Luna,Estación Orbital Saturno,Agua,593,50,23135.3,Media,En tránsito,MF-C1262954,332.08,"-94.7098,-86.4081","113.8076,5.0770",2125-09-01,TSC-010
006,Luna,Titán,Repuestos Mecánicos,1837,318,20153.5,Media,Programado,MF-2DB0D76E,1652.64,"141.9937,45.1677","-176.8450,-78.3383",2125-12-23,TSC-010
007,Ceres,Estación Orbital Saturno,Muestras Geológicas,98,217,50150.0,Baja,Demorado,MF-858A79C9,101.8,"121.5415,-26.5204","-137.3107,-54.3537",2125-01-12,TSC-010
008,Titán,Estación Orbital Saturno,Componentes Electrónicos,392,33,21146.3,Media,Entregado,MF-1FD7F914,235.91,"-112.8941,51.5841","-110.6568,-83.3575",2125-09-17,TSC-005
009,Ceres,Europa,Componentes Electrónicos,1884,378,44186.4,Alta,Entregado,MF-D2927B1C,1143.15,"119.3162,43.1569","128.1742,-31.6293",2125-03-20,TSC-007
010,Marte,Europa,Suministros Médicos,1699,323,15483.6,Baja,En tránsito,MF-5583CF95,1710.64,"62.0205,-42.5081","68.4305,-86.9672",2125-12-27,TSC-008
011,Tierra,Luna,Muestras Geológicas,823,348,47668.0,Media,En tránsito,MF-5B513736,978.36,"133.3148,-79.4056","-49.5388,-43.2096",2125-06-21,TSC-007
012,Titán,Marte,Suministros Médicos,1199,227,5087.25,Media,Demorado,MF-86387D56,1492.74,"163.3216,-38.8357","116.5289,-21.6255",2125-08-09,TSC-005
013,Titán,Estación Ceres,Recursos Minerales,1808,227,24429.85,Media,Demorado,MF-F11801DA,1608.25,"38.5139,43.1476","129.8248,39.5785",2125-02-08,TSC-003
014,Estación Ceres,Estación Orbital Júpiter,Suministros Médicos,1604,162,8976.85,Alta,En tránsito,MF-D13A7EDA,929.83,"-68.9950,15.8496","67.7543,-58.6471",2125-05-14,TSC-003
015,Estación Ceres,Tierra,Agua,1565,171,22045.6,Media,Entregado,MF-4FDFB9A9,1891.03,"70.3118,81.7870","125.3640,57.5720",2125-04-02,TSC-008
016,Estación Ceres,Estación Orbital Saturno,Suministros Generales,726,220,44893.6,Media,Demorado,MF-7FE48138,863.09,"86.8540,-72.8471","-140.6889,20.5283",2125-10-04,TSC-001
017,Estación Orbital Júpiter,Tierra,Datos de Investigación,1468,174,8037.6,Alta,Entregado,MF-63FB147D,1086.18,"-41.5243,14.7697","-41.5770,-51.9625",2125-11-22,TSC-006
018,Estación Orbital Saturno,Marte,Suministros Médicos,705,285,28091.65,Alta,Programado,MF-E5DF5FC9,825.25,"137.2828,55.3848","-21.0941,81.1213",2125-02-09,TSC-006
019,Estación Orbital Saturno,Luna,Recursos Minerales,1230,368,45536.2,Media,Entregado,MF-9ED1FE98,854.13,"-130.5493,31.7147","-23.5908,-72.8823",2125-11-15,TSC-001
020,Titán,Estación Orbital Júpiter,Equipo Científico,1789,101,27483.9,Alta,En tránsito,MF-7D548B57,2109.21,"4.6200,-80.5457","-128.8105,-35.6266",2125-05-05,TSC-001
021,Tierra,Titán,Suministros Generales,143,285,12711.75,Media,Programado,MF-A237E808,145.03,"-159.3485,-47.9729","-125.4437,44.5806",2125-12-25,TSC-005
022,Estación Orbital Júpiter,Titán,Suministros Médicos,244,5,15490.4,Alta,Programado,MF-9A1A2B92,200.27,"-113.9005,-69.0961","-109.1328,47.4587",2125-09-22,TSC-004
023,Luna,Estación Ceres,Equipo Científico,1679,283,14656.55,Baja,Demorado,MF-A8739878,2320.99,"34.1506,-66.7518","79.9473,49.0805",2125-12-08,TSC-005
024,Estación Ceres,Estación Orbital Júpiter,Componentes Electrónicos,1243,165,9799.65,Alta,Entregado,MF-D13FE15E,1501.44,"38.4658,-3.4336","34.7275,-49.4873",2125-08-11,TSC-003
025,Marte,Europa,Muestras Geológicas,495,265,34568.65,Baja,Demorado,MF-44937FB6,651.8,"-172.4255,-40.0443","113.2759,29.8675",2125-05-07,TSC-004
026,Estación Orbital Júpiter,Ceres,Recursos Minerales,254,117,26976.45,Baja,Programado,MF-12564CC2,342.92,"-42.2957,63.6884","-152.6163,13.8506",2125-10-23,TSC-006
027,Estación Ceres,Luna,Alimentos Procesados,385,279,34938.4,Alta,Programado,MF-961949B0,408.3,"130.0110,-32.9215","-53.0014,-49.4684",2125-12-13,TSC-001
028,Estación Ceres,Europa,Agua,1674,310,34827.05,Media,Entregado,MF-C12B897C,1285.72,"-47.0716,60.7358","31.4420,18.1180",2125-09-26,TSC-002
029,Luna,Estación Ceres,Recursos Minerales,1188,96,39968.7,Baja,Programado,MF-919FEC2A,608.05,"-126.7873,16.0583","-110.2978,80.2972",2125-04-07,TSC-004
030,Titán,Estación Ceres,Equipo Científico,484,395,40056.25,Baja,Entregado,MF-B8EB0A1D,510.67,"-55.7675,-64.8898","-30.6302,-74.5988",2125-11-09,TSC-006
031,Luna,Ceres,Agua,1453,269,19857.7,Baja,Programado,MF-5638C621,2067.1,"122.4794,-24.4638","-105.7890,18.0025",2125-05-22,TSC-009
032,Marte,Titán,Componentes Electrónicos,1512,134,38447.2,Alta,En tránsito,MF-8FACFAFF,848.02,"134.7830,-68.3475","128.2268,52.9618",2125-08-14,TSC-004
033,Marte,Tierra,Repuestos Mecánicos,1187,253,37660.95,Alta,Demorado,MF-646BA63C,1448.54,"146.9123,-8.4134","-142.7118,27.0029",2125-10-28,TSC-003
034,Europa,Estación Orbital Júpiter,Suministros Médicos,1459,41,35440.75,Baja,En tránsito,MF-FA70A2EF,1761.58,"176.7322,56.6832","164.8911,33.9338",2125-10-08,TSC-005
035,Estación Ceres,Estación Orbital Júpiter,Agua,1437,90,26710.4,Media,Entregado,MF-1864233A,881.44,"154.0913,-44.9259","-99.9373,22.0990",2125-06-26,TSC-004
