source,target
7047,1
1995,1
7693,1
6462,1
3059,1
8172,1
2364,1
4667,1
8062,1
2606,1
3193,1
3778,1
5041,1
1586,1
9495,1
4377,1
6673,1
7511,1
2764,1
5302,1
5681,1
1088,1
5877,1
626,1
1264,1
4412,1
6461,1
4698,2
9728,2
9199,2
1392,2
7348,2
4678,2
9076,2
9517,2
9075,2
9096,2
9157,2
4331,2
9202,2
3032,2
9603,2
2718,2
6009,2
953,2
4409,2
576,2
4145,2
1636,2
7262,2
2248,2
6509,2
5785,2
4703,2
983,2
3388,2
6645,2
8117,2
9527,2
11,2
6419,2
3205,2
6555,2
3468,2
7711,2
4168,2
9065,2
6288,2
8712,2
5436,2
7827,2
2051,2
8268,2
3009,2
9341,2
9730,2
1383,2
124,2
4661,2
4921,2
7016,2
7020,2
7699,2
9865,2
5915,2
881,2
5752,2
8675,2
7541,2
91,2
2956,2
6742,2
2849,2
2398,2
5321,2
4243,2
3383,2
8766,2
7567,2
8073,2
8756,2
2345,2
7105,2
8940,2
961,2
7286,2
7799,2
2725,2
5552,2
1646,2
6821,2
4167,2
9501,2
5382,2
7617,2
708,2
4495,2
9936,3
9348,3
3919,3
341,3
2102,3
614,3
3812,3
2175,3
227,3
2120,3
7726,3
1309,3
2357,3
2456,3
5985,3
7561,3
1261,3
2423,3
2552,3
7922,3
8182,3
8545,3
9727,3
4791,3
8696,3
2494,3
3102,3
5351,3
4348,3
2386,3
1428,3
7324,3
6035,3
4939,3
390,3
4655,3
6044,3
5471,3
577,3
8661,3
6057,3
4134,3
2541,3
4837,3
3132,3
140,3
8148,3
8259,3
9535,3
5573,3
502,3
2605,3
8867,3
2171,3
5750,3
7416,3
1112,3
5968,3
4942,3
15,3
5924,3
264,3
9544,3
9912,3
4957,3
9794,3
9823,3
8412,3
3921,3
8560,3
5899,3
2603,3
6041,3
6314,3
3967,3
323,3
1942,3
285,3
5350,3
1401,3
5261,3
7916,3
6504,3
970,3
4935,3
2669,3
1706,3
9769,3
2099,3
5221,3
7572,3
9140,3
4479,3
4231,3
3824,3
854,3
2158,3
3498,3
708,3
568,3
8578,3
7370,3
414,3
7990,3
1627,3
8255,3
4027,3
1099,3
1822,3
8359,3
7535,3
2179,3
7181,3
2514,3
2715,3
1722,3
5604,3
7149,3
4719,3
9774,3
2674,3
2453,3
1282,3
2388,3
5114,3
732,3
8512,3
316,3
4328,3
3714,3
988,3
157,3
9570,4
4633,4
5541,4
2275,4
8161,4
1402,4
7283,4
3483,4
2931,4
9529,4
7515,4
5117,4
8034,4
43,4
8291,4
2128,4
147,4
9063,4
849,4
3983,4
9026,4
5264,4
8242,4
3778,4
3938,4
4245,4
9442,4
8141,4
1511,4
6199,4
581,4
9804,4
4035,4
9259,4
945,4
4778,4
4587,4
9617,4
1841,4
2443,4
2688,4
9356,4
1096,4
7525,4
8615,4
7781,4
4904,4
1695,4
2065,4
5154,4
1412,4
7132,4
5374,4
1422,4
5714,4
2921,4
1899,4
5223,4
5640,4
750,4
6163,4
4785,4
3066,4
5114,4
157,4
4283,4
7619,4
7774,4
5721,4
2528,4
647,4
5657,4
4790,4
8051,4
4842,4
5649,4
7944,4
5416,4
2529,4
3671,4
4801,4
8716,4
9281,4
5996,4
7801,4
2017,4
4049,4
650,4
6348,4
