timestamp,sensor_id,frecuencia_Hz,tipo_onda,ruido_db,aceleración_g_t-5s,aceleración_g
2025-06-25 12:00:00,S001,1.01,P,34.7,,0.0046
2025-06-25 12:00:05,S001,1.41,S,31.7,0.0046,0.0048
2025-06-25 12:00:10,S001,1.19,S,30.4,0.0048,0.0047
2025-06-25 12:00:15,S001,1.36,P,23.8,0.0047,0.005
2025-06-25 12:00:20,S001,1.21,P,29.8,0.005,0.0057
2025-06-25 12:00:25,S001,1.53,S,33.0,0.0057,0.0063
2025-06-25 12:00:30,S001,1.04,P,31.9,0.0063,0.0065
2025-06-25 12:00:35,S001,1.95,S,38.7,0.0065,0.0078
2025-06-25 12:00:40,S001,1.6,P,32.3,0.0078,0.0076
2025-06-25 12:00:45,S001,1.51,P,28.0,0.0076,0.0065
2025-06-25 12:00:50,S001,1.4,P,34.2,0.0065,0.0068
2025-06-25 12:00:55,S001,1.78,P,41.7,0.0068,0.0066
2025-06-25 12:01:00,S001,0.68,P,27.2,0.0066,0.0087
2025-06-25 12:01:05,S001,1.84,P,45.0,0.0087,0.0082
2025-06-25 12:01:10,S001,2.04,S,32.5,0.0082,0.0059
2025-06-25 12:01:15,S001,2.12,S,40.1,0.0059,0.006
2025-06-25 12:01:20,S001,0.5,P,41.1,0.006,0.0061
2025-06-25 12:01:25,S001,1.53,Surface,30.2,0.0061,0.0068
2025-06-25 12:01:30,S001,1.45,P,26.4,0.0068,0.007
2025-06-25 12:01:35,S001,1.89,S,34.1,0.007,0.006
2025-06-25 12:01:40,S001,1.71,S,27.3,0.006,0.0072
2025-06-25 12:01:45,S001,2.08,S,33.5,0.0072,0.0067
2025-06-25 12:01:50,S001,1.98,P,42.2,0.0067,0.0064
2025-06-25 12:01:55,S001,1.07,S,32.5,0.0064,0.0061
2025-06-25 12:02:00,S001,1.76,S,35.0,0.0061,0.0064
2025-06-25 12:02:05,S001,2.05,P,32.3,0.0064,0.0067
2025-06-25 12:02:10,S001,1.74,S,47.1,0.0067,0.0058
2025-06-25 12:02:15,S001,0.74,P,38.2,0.0058,0.0038
2025-06-25 12:02:20,S001,1.01,Surface,32.1,0.0038,0.0019
2025-06-25 12:02:25,S001,1.5,S,29.4,0.0019,0.003
2025-06-25 12:02:30,S001,1.63,P,38.4,0.003,0.0023
2025-06-25 12:02:35,S001,2.0,P,32.9,0.0023,0.0037
2025-06-25 12:02:40,S001,1.56,P,31.0,0.0037,0.0032
2025-06-25 12:02:45,S001,1.44,S,32.4,0.0032,0.0033
2025-06-25 12:02:50,S001,2.39,Surface,38.5,0.0033,0.0039
2025-06-25 12:02:55,S001,1.79,P,37.6,0.0039,0.0041
2025-06-25 12:03:00,S001,1.64,P,25.8,0.0041,0.0059
2025-06-25 12:03:05,S001,1.98,P,34.1,0.0059,0.0058
2025-06-25 12:03:10,S001,1.3,P,37.9,0.0058,0.0053
2025-06-25 12:03:15,S001,1.19,P,28.4,0.0053,0.005
2025-06-25 12:03:20,S001,1.75,P,39.7,0.005,0.0058
2025-06-25 12:03:25,S001,1.77,P,33.6,0.0058,0.0056
2025-06-25 12:03:30,S001,0.74,S,32.7,0.0056,0.0044
2025-06-25 12:03:35,S001,1.77,P,29.8,0.0044,0.0041
2025-06-25 12:03:40,S001,1.77,P,36.6,0.0041,0.0038
2025-06-25 12:03:45,S001,1.58,P,34.9,0.0038,0.004
2025-06-25 12:03:50,S001,1.23,S,37.5,0.004,0.003
2025-06-25 12:03:55,S001,1.4,P,34.8,0.003,0.003
2025-06-25 12:04:00,S001,1.44,S,33.5,0.003,0.003
2025-06-25 12:04:05,S001,1.77,Surface,30.4,0.003,0.0013
2025-06-25 12:04:10,S001,1.89,P,23.1,0.0013,0.003
2025-06-25 12:04:15,S001,1.9,P,37.0,0.003,0.0018
2025-06-25 12:04:20,S001,2.04,P,32.8,0.0018,0.0017
2025-06-25 12:04:25,S001,1.99,Surface,29.6,0.0017,0.0019
2025-06-25 12:04:30,S001,1.51,S,37.6,0.0019,0.0021
2025-06-25 12:04:35,S001,1.95,S,34.4,0.0021,0.0011
2025-06-25 12:04:40,S001,1.52,P,35.3,0.0011,0.0191
2025-06-25 12:04:45,S001,0.86,P,40.9,0.0191,0.0191
2025-06-25 12:04:50,S001,1.85,P,37.8,0.0191,0.0187
2025-06-25 12:04:55,S001,1.47,P,32.6,0.0187,0.0364
2025-06-25 12:05:00,S001,1.3,S,40.5,0.0364,0.0366
2025-06-25 12:05:05,S001,0.82,P,35.9,0.0366,0.0343
2025-06-25 12:05:10,S001,1.2,P,34.2,0.0343,0.0341
2025-06-25 12:05:15,S001,1.38,P,39.1,0.0341,0.0356
2025-06-25 12:05:20,S001,1.33,P,43.3,0.0356,0.0362
2025-06-25 12:05:25,S001,0.54,S,36.3,0.0362,0.0357
2025-06-25 12:05:30,S001,1.3,P,26.4,0.0357,0.0375
2025-06-25 12:05:35,S001,1.87,S,41.6,0.0375,0.0372
2025-06-25 12:05:40,S001,1.35,Surface,34.3,0.0372,0.0369
2025-06-25 12:05:45,S001,1.03,S,33.9,0.0369,0.038
2025-06-25 12:05:50,S001,1.17,S,42.8,0.038,0.0368
2025-06-25 12:05:55,S001,1.7,Surface,35.5,0.0368,0.0379
2025-06-25 12:06:00,S001,1.81,P,34.3,0.0379,0.0364
2025-06-25 12:06:05,S001,1.71,S,33.7,0.0364,0.0363
2025-06-25 12:06:10,S001,2.01,S,33.7,0.0363,0.0367
2025-06-25 12:06:15,S001,1.42,Surface,29.6,0.0367,0.0367
2025-06-25 12:06:20,S001,1.83,S,27.1,0.0367,0.0388
2025-06-25 12:06:25,S001,1.12,P,32.5,0.0388,0.0379
2025-06-25 12:06:30,S001,1.46,S,33.2,0.0379,0.04
2025-06-25 12:06:35,S001,2.06,S,39.2,0.04,0.0397
2025-06-25 12:06:40,S001,1.47,P,33.2,0.0397,0.04
2025-06-25 12:06:45,S001,1.34,Surface,40.2,0.04,0.0398
2025-06-25 12:06:50,S001,1.12,P,42.3,0.0398,0.0397
2025-06-25 12:06:55,S001,1.93,S,34.8,0.0397,0.0397
2025-06-25 12:07:00,S001,1.64,P,34.1,0.0397,0.0398
2025-06-25 12:07:05,S001,1.78,S,39.6,0.0398,0.0399
2025-06-25 12:07:10,S001,2.15,P,37.4,0.0399,0.041
2025-06-25 12:07:15,S001,1.1,Surface,31.7,0.041,0.0436
2025-06-25 12:07:20,S001,1.55,S,28.0,0.0436,0.0442
2025-06-25 12:07:25,S001,1.92,P,36.4,0.0442,0.0445
2025-06-25 12:07:30,S001,1.32,P,38.6,0.0445,0.0436
2025-06-25 12:07:35,S001,1.07,S,34.1,0.0436,0.043
2025-06-25 12:07:40,S001,1.47,P,36.8,0.043,0.0436
2025-06-25 12:07:45,S001,2.02,S,38.0,0.0436,0.0418
2025-06-25 12:07:50,S001,1.44,S,34.8,0.0418,0.0421
2025-06-25 12:07:55,S001,1.76,Surface,32.2,0.0421,0.0416
2025-06-25 12:08:00,S001,1.42,P,31.6,0.0416,0.0399
2025-06-25 12:08:05,S001,2.04,S,28.9,0.0399,0.0398
2025-06-25 12:08:10,S001,1.04,P,40.9,0.0398,0.0403
2025-06-25 12:08:15,S001,1.1,Surface,34.6,0.0403,0.0394
2025-06-25 12:08:20,S001,2.1,Surface,38.7,0.0394,0.0411
2025-06-25 12:08:25,S001,1.25,P,34.5,0.0411,0.0394
2025-06-25 12:08:30,S001,2.23,P,38.3,0.0394,0.039
2025-06-25 12:08:35,S001,1.09,S,39.7,0.039,0.039
2025-06-25 12:08:40,S001,1.51,S,31.6,0.039,0.0402
